,id,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst,Unnamed: 32
count,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,0.0
mean,36818050.443396226,17.462830188679245,21.60490566037736,115.36537735849056,978.3764150943397,0.10289849056603775,0.14518778301886792,0.16077471698113208,0.08799,0.1929089622641509,0.06268009433962264,0.6090825471698113,1.2109146226415093,4.3239292452830185,72.67240566037735,0.006780094339622642,0.03228116509433963,0.041824009433962264,0.015060471698113208,0.020472400943396227,0.0040624056603773585,21.134811320754718,29.318207547169813,141.37033018867925,1422.2863207547173,0.1448452358490566,0.37482410377358494,0.4506055660377358,0.1822373113207547,0.32346792452830186,0.09152995283018868,
std,137896549.64187458,3.203971100779367,3.7794699207763403,21.85465329107372,367.9379776066703,0.012608235501058329,0.05398749505279828,0.07501932785025707,0.034373908875401524,0.02763809214303017,0.007573315024808587,0.3450385808871092,0.4831780770537448,2.5685456540541702,61.35526840853969,0.002890429930887558,0.018387189920991847,0.021603428384667896,0.00551736244203068,0.01006488844390466,0.0020414979342880577,4.283569453482647,5.434804076513242,29.45705516412989,597.9677431516739,0.02186983439219913,0.1703719847157103,0.1815067225242058,0.04630779007517737,0.07468495606861252,0.021552888514426553,
min,8670.0,10.95,10.38,71.9,361.6,0.07371,0.04605,0.02398,0.02031,0.1308,0.04996,0.1938,0.3621,1.334,13.99,0.002667,0.008422,0.01101,0.005174,0.007882,0.001087,12.84,16.67,85.1,508.1,0.08822,0.05131,0.02398,0.02899,0.1565,0.05504,
25%,861345.0,15.075000000000001,19.3275,98.745,705.3000000000001,0.09401,0.10959999999999999,0.109525,0.06462000000000001,0.17404999999999998,0.0565975,0.39037499999999997,0.8928250000000001,2.7155,35.7625,0.00508475,0.0196625,0.0269975,0.011415,0.014615,0.0026882499999999997,17.73,25.782500000000002,119.32500000000002,970.3,0.130475,0.244475,0.326425,0.15275,0.2765,0.0763025,
50%,895366.5,17.325000000000003,21.46,114.2,932.0,0.1022,0.13235,0.15134999999999998,0.08628,0.1899,0.061575000000000005,0.5472,1.1025,3.6795,58.455,0.0062095,0.028590000000000004,0.037125000000000005,0.014205,0.0177,0.0037394999999999998,20.59,28.945,138.0,1303.0,0.14345,0.35635,0.4049,0.182,0.3103,0.0876,
75%,8911289.75,19.59,23.765,129.925,1203.75,0.110925,0.1724,0.20305,0.103175,0.20985,0.067075,0.7573,1.4292500000000001,5.206249999999999,94.0,0.007971,0.03891,0.0504425,0.0174975,0.0221325,0.00489225,23.8075,32.69,159.8,1712.75,0.155975,0.44784999999999997,0.5561750000000001,0.210675,0.35922499999999996,0.102625,
max,911296202.0,28.11,39.28,188.5,2501.0,0.1447,0.3454,0.4268,0.2012,0.304,0.09744,2.873,3.568,21.98,542.2,0.03113,0.1354,0.1438,0.0409,0.07895,0.01284,36.04,49.54,251.2,4254.0,0.2226,1.058,1.17,0.29100000000000004,0.6638,0.2075,
count,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,0.0
mean,26543824.62464986,12.146523809523808,17.914761904761903,78.075406162465,462.7901960784313,0.09247764705882354,0.0800846218487395,0.04605762100840336,0.025717406162464988,0.1741859943977591,0.0628673949579832,0.28408235294117645,1.2203801120448179,2.0003212885154062,21.135148459383753,0.007195901960784313,0.02143824649859944,0.02599673557422969,0.009857652661064425,0.020583806722689075,0.0036360512605042015,13.37980112044818,23.51507002801121,87.00593837535013,558.8994397759103,0.12495949579831933,0.18267254901960786,0.16623772268907563,0.07444434453781512,0.27024593837535016,0.07944207282913165,
std,116739662.02692842,1.7805116461410393,3.995124593675911,11.80743758010874,134.2871181470596,0.013446077330274126,0.033749954593142555,0.04344215104506158,0.015908778378274778,0.02480675820679328,0.0067473428139250636,0.1125696081635206,0.5891797272308024,0.7711692027100456,8.843472045083173,0.0030606096493598412,0.016351511360437863,0.032918236251070425,0.005708624676191589,0.006998538713378052,0.0029382189401981496,1.981367569708073,5.493954523042767,13.52709090056494,163.60142388916324,0.020013465208021997,0.09217997959811537,0.14036774077918962,0.0357973737756289,0.0417447664287058,0.013804045110823396,
min,8913.0,6.981,9.71,43.79,143.5,0.05263,0.01938,0.0,0.0,0.106,0.05185,0.1115,0.3602,0.757,6.8020000000000005,0.001713,0.002252,0.0,0.0,0.009539,0.0008948000000000002,7.93,12.02,50.41,185.2,0.07117000000000001,0.02729,0.0,0.0,0.1566,0.05521,
25%,874662.0,11.08,15.15,70.87,378.2,0.08306000000000001,0.05562,0.02031,0.01502,0.158,0.05853,0.2073,0.7959,1.445,15.26,0.005212,0.01132,0.01099,0.006433,0.0156,0.002074,12.08,19.58,78.27,447.1,0.1104,0.112,0.07708,0.05104,0.2406,0.07009,
50%,908916.0,12.2,17.39,78.18,458.4,0.09076,0.07529,0.03709,0.02344,0.1714,0.06154,0.2575,1.108,1.851,19.63,0.006529999999999999,0.016309999999999998,0.0184,0.009061,0.01909,0.002808,13.35,22.82,86.92,547.4,0.1254,0.1698,0.1412,0.07431,0.2687,0.07712000000000001,
75%,8812816.0,13.37,19.76,86.1,551.1,0.1007,0.09755,0.05999,0.032510000000000004,0.189,0.06576,0.3416,1.492,2.388,25.03,0.008534,0.02589,0.030560000000000007,0.01187,0.02406,0.004174000000000001,14.8,26.51,96.59,670.0,0.1376,0.2302,0.2216,0.09749,0.2983,0.08541,
max,911320502.0,17.85,33.81,114.6,992.1,0.1634,0.2239,0.4108,0.08534,0.2743,0.09575,0.8811,4.885,5.118,77.11,0.02177,0.1064,0.396,0.05279,0.06146,0.02984,19.82,41.78,127.1,1210.0,0.2006,0.5849,1.252,0.175,0.4228,0.1486,
