modelo,Tamano,Optimizador,Por_capa,Flattening,Training,Dev,Test
modelo_001,80x200,Adam,32 - 32,1 - 128,0.9919,0.9915,1
modelo_002,80x200,Adam,32 - 64,1 - 128,0.9926,0.9932,0.995
modelo_003,80x200,Adam,32 - 128,1 - 128,0.9931,0.9863,1
modelo_004,80x200,Adam,32 - 32,1 - 240,0.993,0.9885,0.995
modelo_005,80x200,Adam,32 - 64,1 - 240,0.9937,0.9911,0.99
modelo_006,80x200,Adam,32 - 128,1 - 240,0.994,0.9902,0.99
modelo_007,80x200,Adam,32 - 32,1 - 380,0.9925,0.9868,0.995
modelo_008,80x200,Adam,32 - 64,1 - 380,0.9942,0.9941,1
modelo_009,80x200,Adam,32 - 128,1 - 380,0.9935,0.9928,1
modelo_010,80x200,Adamax,32 - 32,1 - 128,0.9846,0.9799,0.9653
modelo_011,80x200,Adamax,32 - 64,1 - 128,0.5539,0.558,0.5594
modelo_012,80x200,Adamax,32 - 128,1 - 128,0.9928,0.9856,0.9702
modelo_013,80x200,Adamax,32 - 32,1 - 240,0.9914,0.994,0.9752
modelo_014,80x200,Adamax,32 - 64,1 - 240,0.9947,0.9915,0.995
modelo_015,80x200,Adamax,32 - 128,1 - 240,0.5529,0.5581,0.5594
modelo_016,80x200,Adamax,32 - 32,1 - 380,0.9952,0.989,0.9801
modelo_017,80x200,Adamax,32 - 64,1 - 380,0.9941,0.9957,1
modelo_018,80x200,Adamax,32 - 128,1 - 380,0.5522,0.5583,0.5594
modelo_019,80x200,Nadam,32 - 32,1 - 128,0.991,0.9898,1
modelo_020,80x200,Nadam,32 - 64,1 - 128,0.991,0.986,0.99
modelo_021,80x200,Nadam,32 - 128,1 - 128,0.991,0.9877,0.99
modelo_022,80x200,Nadam,32 - 32,1 - 240,0.9923,0.9885,0.995
modelo_023,80x200,Nadam,32 - 64,1 - 240,0.9925,0.9971,1
modelo_024,80x200,Nadam,32 - 128,1 - 240,0.9913,0.9885,0.995
modelo_025,80x200,Nadam,32 - 32,1 - 380,0.9929,0.991,0.995
modelo_026,80x200,Nadam,32 - 64,1 - 380,0.9937,0.985,0.9504
modelo_027,80x200,Nadam,32 - 128,1 - 380,0.4469,0.4418,0.4405
modelo_028,80x200,RMSProp,32 - 32,1 - 128,0.9823,0.9864,0.99
modelo_029,80x200,RMSProp,32 - 64,1 - 128,0.9669,0.969,0.9455
modelo_030,80x200,RMSProp,32 - 128,1 - 128,0.9678,0.9698,0.9504
modelo_031,80x200,RMSProp,32 - 32,1 - 240,0.9876,0.9648,0.9752
modelo_032,80x200,RMSProp,32 - 64,1 - 240,0.985,0.9937,0.9851
modelo_033,80x200,RMSProp,32 - 128,1 - 240,0.4475,0.4422,0.4405
modelo_034,80x200,RMSProp,32 - 32,1 - 380,0.986,0.9928,1
modelo_035,80x200,RMSProp,32 - 64,1 - 380,0.5533,0.5581,0.5594
modelo_036,80x200,RMSProp,32 - 128,1 - 380,0.9739,0.9765,0.9801
modelo_037,80x200,SGD,32 - 32,1 - 128,0.9362,0.9608,0.9455
modelo_038,80x200,SGD,32 - 64,1 - 128,0.9553,0.9761,0.9752
modelo_039,80x200,SGD,32 - 128,1 - 128,0.9469,0.9766,0.9752
modelo_040,80x200,SGD,32 - 32,1 - 240,0.9618,0.8945,0.9158
modelo_041,80x200,SGD,32 - 64,1 - 240,0.9581,0.9711,0.9752
modelo_042,80x200,SGD,32 - 128,1 - 240,0.9493,0.9628,0.9752
modelo_043,80x200,SGD,32 - 32,1 - 380,0.962,0.9685,0.9801
modelo_044,80x200,SGD,32 - 64,1 - 380,0.962,0.9659,0.9653
modelo_045,80x200,SGD,32 - 128,1 - 380,0.9601,0.9757,0.9752
modelo_046,80x200,Adadelta,32 - 32,1 - 128,0.9951,0.9945,0.995
modelo_047,80x200,Adadelta,32 - 64,1 - 128,0.9925,0.9936,1
modelo_048,80x200,Adadelta,32 - 128,1 - 128,0.9957,0.9911,1
modelo_049,80x200,Adadelta,32 - 32,1 - 240,0.9953,0.9881,0.995
modelo_050,80x200,Adadelta,32 - 64,1 - 240,0.9965,0.9957,1
modelo_051,80x200,Adadelta,32 - 128,1 - 240,0.9966,0.9911,1
modelo_052,80x200,Adadelta,32 - 32,1 - 380,0.9964,0.9975,1
modelo_053,80x200,Adadelta,32 - 64,1 - 380,0.996,0.994,1
modelo_054,80x200,Adadelta,32 - 128,1 - 380,0.9963,0.9944,0.995
modelo_055,80x200,Adagrad,32 - 32,1 - 128,0.5521,0.5582,0.5594
modelo_056,80x200,Adagrad,32 - 64,1 - 128,0.9907,0.9825,0.9801
modelo_057,80x200,Adagrad,32 - 128,1 - 128,0.4465,0.442,0.4405
modelo_058,80x200,Adagrad,32 - 32,1 - 240,0.4469,0.4416,0.4405
modelo_059,80x200,Adagrad,32 - 64,1 - 240,0.5529,0.5578,0.5594
modelo_060,80x200,Adagrad,32 - 128,1 - 240,0.5528,0.5581,0.5594
modelo_061,80x200,Adagrad,32 - 32,1 - 380,0.5524,0.558,0.5594
modelo_062,80x200,Adagrad,32 - 64,1 - 380,0.4473,0.4419,0.4405
modelo_063,80x200,Adagrad,32 - 128,1 - 380,0.5533,0.5581,0
modelo_064,160x400,Adam,32 - 32,1 - 128,0.9944,0.9969,1
modelo_065,160x400,Adam,32 - 64,1 - 128,0.9953,0.9895,0.9941
modelo_066,160x400,Adam,32 - 128,1 - 128,0.9948,0.9937,1
modelo_067,160x400,Adam,32 - 32,1 - 240,0.9933,0.9921,0.9941
modelo_068,160x400,Adam,32 - 64,1 - 240,0.9926,1,0.9883
modelo_069,160x400,Adam,32 - 128,1 - 240,0.4973,0.5166,0.4502
modelo_070,160x400,Adam,32 - 32,1 - 380,0.9941,0.9979,1
modelo_071,160x400,Adam,32 - 64,1 - 380,0.4964,0.5168,0.4502
modelo_072,160x400,Adam,32 - 128,1 - 380,0.4982,0.5168,0.4502
modelo_073,160x400,Adamax,32 - 32,1 - 128,0.9926,0.9937,0.9883
modelo_074,160x400,Adamax,32 - 64,1 - 128,0.9944,0.991,0.9941
modelo_075,160x400,Adamax,32 - 128,1 - 128,0.9126,0.9278,0.9356
modelo_076,160x400,Adamax,32 - 32,1 - 240,0.498,0.5166,0.4502
modelo_077,160x400,Adamax,32 - 64,1 - 240,0.9964,0.9958,0.9941
modelo_078,160x400,Adamax,32 - 128,1 - 240,0.5025,0.4835,0.5497
modelo_079,160x400,Adamax,32 - 32,1 - 380,0.5041,0.4832,0.5497
modelo_080,160x400,Adamax,32 - 64,1 - 380,0.4989,0.5166,0.4502
modelo_081,160x400,Adamax,32 - 128,1 - 380,0.501,0.4835,0.5497
modelo_082,160x400,Nadam,32 - 32,1 - 128,0.5028,0.4834,0.5497
modelo_083,160x400,Nadam,32 - 64,1 - 128,0.497,0.5164,0.4502
modelo_084,160x400,Nadam,32 - 128,1 - 128,0.4983,0.5163,0.4502
modelo_085,160x400,Nadam,32 - 32,1 - 240,0.4972,0.5168,0.4502
modelo_086,160x400,Nadam,32 - 64,1 - 240,0.5025,0.4834,0.5497
modelo_087,160x400,Nadam,32 - 128,1 - 240,0.5016,0.4832,0.5497
modelo_088,160x400,Nadam,32 - 32,1 - 380,0.4981,0.5167,0.4502
modelo_089,160x400,Nadam,32 - 64,1 - 380,0.4964,0.5166,0.4502
modelo_090,160x400,Nadam,32 - 128,1 - 380,0.497,0.5167,0.4502
modelo_091,160x400,RMSProp,32 - 32,1 - 128,0.4981,0.5168,0.4502
modelo_092,160x400,RMSProp,32 - 64,1 - 128,0.981,0.98,0.9766
modelo_093,160x400,RMSProp,32 - 128,1 - 128,0.4972,0.5167,0.4502
modelo_094,160x400,RMSProp,32 - 32,1 - 240,0.9856,0.99,0.9883
modelo_095,160x400,RMSProp,32 - 64,1 - 240,0.9832,0.9704,0.9766
modelo_096,160x400,RMSProp,32 - 128,1 - 240,0.5036,0.4835,0.5497
modelo_097,160x400,RMSProp,32 - 32,1 - 380,0.9852,0.9937,1
modelo_098,160x400,RMSProp,32 - 64,1 - 380,0.4977,0.5165,0.4502
modelo_099,160x400,RMSProp,32 - 128,1 - 380,0.5041,0.4834,0.5497
modelo_100,160x400,SGD,32 - 32,1 - 128,0.9663,0.9763,0.959
modelo_101,160x400,SGD,32 - 64,1 - 128,0.9649,0.9731,0.9649
modelo_102,160x400,SGD,32 - 128,1 - 128,0.9619,0.9652,0.9356
modelo_103,160x400,SGD,32 - 32,1 - 240,0.9735,0.9627,0.959
modelo_104,160x400,SGD,32 - 64,1 - 240,0.963,0.9499,0.9473
modelo_105,160x400,SGD,32 - 128,1 - 240,0.9631,0.9705,0.959
modelo_106,160x400,SGD,32 - 32,1 - 380,0.9685,0.9783,0.9473
modelo_107,160x400,SGD,32 - 64,1 - 380,0.9765,0.9541,0.9356
modelo_108,160x400,SGD,32 - 128,1 - 380,0.9698,0.9704,0.9532
modelo_109,160x400,Adadelta,32 - 32,1 - 128,0.4967,0.5165,0.4502
modelo_110,160x400,Adadelta,32 - 64,1 - 128,0.9938,0.9942,1
modelo_111,160x400,Adadelta,32 - 128,1 - 128,0.9947,0.9958,1
modelo_112,160x400,Adadelta,32 - 32,1 - 240,0.9962,0.9932,1
modelo_113,160x400,Adadelta,32 - 64,1 - 240,0.996,0.9963,1
modelo_114,160x400,Adadelta,32 - 128,1 - 240,0.9952,0.9958,1
modelo_115,160x400,Adadelta,32 - 32,1 - 380,0.4981,0.5164,0.444
modelo_116,160x400,Adadelta,32 - 64,1 - 380,0.9956,0.9984,0.9941
modelo_117,160x400,Adadelta,32 - 128,1 - 380,0.9955,0.9915,1
modelo_118,160x400,Adagrad,32 - 32,1 - 128,0.5023,0.4833,0.5497
modelo_119,160x400,Adagrad,32 - 64,1 - 128,0.5037,0.4835,0.5497
modelo_120,160x400,Adagrad,32 - 128,1 - 128,0.4965,0.5165,0.4502
modelo_121,160x400,Adagrad,32 - 32,1 - 240,0.4977,0.5167,0.4502
modelo_122,160x400,Adagrad,32 - 64,1 - 240,0.5036,0.4835,0.5497
modelo_123,160x400,Adagrad,32 - 128,1 - 240,0.5031,0.4834,0.5497
modelo_124,160x400,Adagrad,32 - 32,1 - 380,0.4975,0.5167,0.4502
modelo_125,160x400,Adagrad,32 - 64,1 - 380,0.5022,0.4833,0.5497
modelo_126,160x400,Adagrad,32 - 128,1 - 380,0.5022,0.4833,0.5497